
=== regrag-local-undesirable-singapore-safety-20260918T053358Z  (25% of each dataset, seed 20260916)
2026-09-18 11:04:46,935 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 4.
2026-09-18 11:04:47,713 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 5.
2026-09-18 11:04:48,524 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 6.
2026-09-18 11:04:49,384 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 7.
2026-09-18 11:04:50,215 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 8.
2026-09-18 11:04:51,050 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 9.
2026-09-18 11:04:51,892 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 10.
2026-09-18 11:04:52,634 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 11.
2026-09-18 11:04:53,424 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 12.
2026-09-18 11:04:55,621 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 13.
2026-09-18 11:04:56,409 [INFO][benchmarking.py::generate(203)] [Benchmarking] Run took 57.4748s
2026-09-18 11:04:56,412 [INFO][benchmarking.py::generate(258)] [Benchmarking] Preparing results took 0.0001s
2026-09-18 11:04:56,419 [INFO][benchmarking-result.py::generate(58)] [BenchmarkingResult] Generate results took 0.0072s
2026-09-18 11:04:56,422 [INFO][runner.py::run_recipes(375)] [Runner] regrag-local-undesirable-singapore-safety-20260918t053358z - Benchmark recipe run completed.

=== regrag-local-undesirable-mlc-vcr-en-20260918T053456Z  (5% of each dataset, seed 20260916)
2026-09-18 11:04:56,452 [INFO][runner.py::run_recipes(349)] [Runner] regrag-local-undesirable-mlc-vcr-en-20260918t053456z - Running benchmark recipe run...
2026-09-18 11:04:56,457 [INFO][benchmarking.py::generate(169)] [Benchmarking] Running recipes (['mlc-vcr-en'])...
2026-09-18 11:04:56,457 [INFO][benchmarking.py::generate(173)] [Benchmarking] Running recipe mlc-vcr-en... (1/1)
2026-09-18 11:04:56,461 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 5.
2026-09-18 11:04:56,466 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 20.
2026-09-18 11:04:56,466 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 48.
2026-09-18 11:04:56,466 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 84.
2026-09-18 11:04:56,466 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 87.
2026-09-18 11:05:11,982 [INFO][bedrock-judge-connector.py::__init__(94)] Ignoring `token` with 4 characters (doesn't look like an aws_session_token)
2026-09-18 11:05:11,995 [INFO][bedrock-judge-connector.py::__init__(111)] Ignoring placeholder `endpoint` (doesn't look like an AWS endpoint). Got: DEFAULT
2026-09-18 11:05:12,044 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 0.
2026-09-18 11:05:13,375 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 1.
2026-09-18 11:05:14,185 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 2.
2026-09-18 11:05:14,951 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 3.
2026-09-18 11:05:15,768 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 4.
2026-09-18 11:05:16,436 [INFO][benchmarking.py::generate(203)] [Benchmarking] Run took 19.9778s
2026-09-18 11:05:16,437 [INFO][benchmarking.py::generate(258)] [Benchmarking] Preparing results took 0.0000s
2026-09-18 11:05:16,443 [INFO][benchmarking-result.py::generate(58)] [BenchmarkingResult] Generate results took 0.0058s
2026-09-18 11:05:16,446 [INFO][runner.py::run_recipes(375)] [Runner] regrag-local-undesirable-mlc-vcr-en-20260918t053456z - Benchmark recipe run completed.

=== regrag-local-undesirable-mlc-ncr-en-20260918T053516Z  (5% of each dataset, seed 20260916)
2026-09-18 11:05:16,469 [INFO][runner.py::run_recipes(349)] [Runner] regrag-local-undesirable-mlc-ncr-en-20260918t053516z - Running benchmark recipe run...
2026-09-18 11:05:16,473 [INFO][benchmarking.py::generate(169)] [Benchmarking] Running recipes (['mlc-ncr-en'])...
2026-09-18 11:05:16,473 [INFO][benchmarking.py::generate(173)] [Benchmarking] Running recipe mlc-ncr-en... (1/1)
2026-09-18 11:05:16,478 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 5.
2026-09-18 11:05:16,484 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 20.
2026-09-18 11:05:16,484 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 48.
2026-09-18 11:05:16,484 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 84.
2026-09-18 11:05:16,484 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 87.
2026-09-18 11:05:32,457 [INFO][bedrock-judge-connector.py::__init__(94)] Ignoring `token` with 4 characters (doesn't look like an aws_session_token)
2026-09-18 11:05:32,471 [INFO][bedrock-judge-connector.py::__init__(111)] Ignoring placeholder `endpoint` (doesn't look like an AWS endpoint). Got: DEFAULT
2026-09-18 11:05:32,516 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 0.
2026-09-18 11:05:33,824 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 1.
2026-09-18 11:05:34,587 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 2.
2026-09-18 11:05:35,367 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 3.
2026-09-18 11:05:36,103 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 4.
2026-09-18 11:05:36,859 [INFO][benchmarking.py::generate(203)] [Benchmarking] Run took 20.3851s
2026-09-18 11:05:36,861 [INFO][benchmarking.py::generate(258)] [Benchmarking] Preparing results took 0.0001s
2026-09-18 11:05:36,867 [INFO][benchmarking-result.py::generate(58)] [BenchmarkingResult] Generate results took 0.0056s
2026-09-18 11:05:36,869 [INFO][runner.py::run_recipes(375)] [Runner] regrag-local-undesirable-mlc-ncr-en-20260918t053516z - Benchmark recipe run completed.

=== regrag-local-undesirable-mlc-ailuminate-cse-20260918T053536Z  (5% of each dataset, seed 20260916)
2026-09-18 11:05:36,894 [INFO][runner.py::run_recipes(349)] [Runner] regrag-local-undesirable-mlc-ailuminate-cse-20260918t053536z - Running benchmark recipe run...
2026-09-18 11:05:36,897 [INFO][benchmarking.py::generate(169)] [Benchmarking] Running recipes (['mlc-ailuminate-cse'])...
2026-09-18 11:05:36,897 [INFO][benchmarking.py::generate(173)] [Benchmarking] Running recipe mlc-ailuminate-cse... (1/1)
2026-09-18 11:05:36,901 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 5.
2026-09-18 11:05:36,906 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 20.
2026-09-18 11:05:36,906 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 48.
2026-09-18 11:05:36,906 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 84.
2026-09-18 11:05:36,906 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 87.
2026-09-18 11:05:51,420 [INFO][bedrock-judge-connector.py::__init__(94)] Ignoring `token` with 4 characters (doesn't look like an aws_session_token)
2026-09-18 11:05:51,428 [INFO][bedrock-judge-connector.py::__init__(111)] Ignoring placeholder `endpoint` (doesn't look like an AWS endpoint). Got: DEFAULT
2026-09-18 11:05:51,514 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 0.
2026-09-18 11:05:52,833 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 1.
2026-09-18 11:05:55,039 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 2.
2026-09-18 11:05:55,977 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 3.
2026-09-18 11:05:56,741 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 4.
2026-09-18 11:05:57,592 [INFO][benchmarking.py::generate(203)] [Benchmarking] Run took 20.6945s
2026-09-18 11:05:57,594 [INFO][benchmarking.py::generate(258)] [Benchmarking] Preparing results took 0.0001s
2026-09-18 11:05:57,599 [INFO][benchmarking-result.py::generate(58)] [BenchmarkingResult] Generate results took 0.0049s
2026-09-18 11:05:57,601 [INFO][runner.py::run_recipes(375)] [Runner] regrag-local-undesirable-mlc-ailuminate-cse-20260918t053536z - Benchmark recipe run completed.

=== regrag-local-undesirable-mlc-ailuminate-hte-20260918T053557Z  (5% of each dataset, seed 20260916)
2026-09-18 11:05:57,623 [INFO][runner.py::run_recipes(349)] [Runner] regrag-local-undesirable-mlc-ailuminate-hte-20260918t053557z - Running benchmark recipe run...
2026-09-18 11:05:57,628 [INFO][benchmarking.py::generate(169)] [Benchmarking] Running recipes (['mlc-ailuminate-hte'])...
2026-09-18 11:05:57,628 [INFO][benchmarking.py::generate(173)] [Benchmarking] Running recipe mlc-ailuminate-hte... (1/1)
2026-09-18 11:05:57,632 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 5.
2026-09-18 11:05:57,638 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 20.
2026-09-18 11:05:57,638 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 48.
2026-09-18 11:05:57,638 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 84.
2026-09-18 11:05:57,638 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 87.
2026-09-18 11:06:10,390 [INFO][bedrock-judge-connector.py::__init__(94)] Ignoring `token` with 4 characters (doesn't look like an aws_session_token)
2026-09-18 11:06:10,405 [INFO][bedrock-judge-connector.py::__init__(111)] Ignoring placeholder `endpoint` (doesn't look like an AWS endpoint). Got: DEFAULT
2026-09-18 11:06:10,450 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 0.
2026-09-18 11:06:11,846 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 1.
2026-09-18 11:06:12,683 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 2.
2026-09-18 11:06:13,619 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 3.
2026-09-18 11:06:16,235 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 4.
2026-09-18 11:06:17,066 [INFO][benchmarking.py::generate(203)] [Benchmarking] Run took 19.4380s
2026-09-18 11:06:17,068 [INFO][benchmarking.py::generate(258)] [Benchmarking] Preparing results took 0.0001s
2026-09-18 11:06:17,074 [INFO][benchmarking-result.py::generate(58)] [BenchmarkingResult] Generate results took 0.0058s
2026-09-18 11:06:17,076 [INFO][runner.py::run_recipes(375)] [Runner] regrag-local-undesirable-mlc-ailuminate-hte-20260918t053557z - Benchmark recipe run completed.

=== regrag-local-undesirable-mlc-ailuminate-iwp-20260918T053617Z  (5% of each dataset, seed 20260916)
2026-09-18 11:06:17,096 [INFO][runner.py::run_recipes(349)] [Runner] regrag-local-undesirable-mlc-ailuminate-iwp-20260918t053617z - Running benchmark recipe run...
2026-09-18 11:06:17,100 [INFO][benchmarking.py::generate(169)] [Benchmarking] Running recipes (['mlc-ailuminate-iwp'])...
2026-09-18 11:06:17,100 [INFO][benchmarking.py::generate(173)] [Benchmarking] Running recipe mlc-ailuminate-iwp... (1/1)
2026-09-18 11:06:17,105 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 5.
2026-09-18 11:06:17,111 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 20.
2026-09-18 11:06:17,111 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 48.
2026-09-18 11:06:17,111 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 84.
2026-09-18 11:06:17,111 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 87.
2026-09-18 11:06:34,397 [INFO][bedrock-judge-connector.py::__init__(94)] Ignoring `token` with 4 characters (doesn't look like an aws_session_token)
2026-09-18 11:06:34,406 [INFO][bedrock-judge-connector.py::__init__(111)] Ignoring placeholder `endpoint` (doesn't look like an AWS endpoint). Got: DEFAULT
2026-09-18 11:06:34,448 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 0.
2026-09-18 11:06:35,712 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 1.
2026-09-18 11:06:37,850 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 2.
2026-09-18 11:06:40,329 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 3.
2026-09-18 11:06:41,740 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 4.
2026-09-18 11:06:43,915 [INFO][benchmarking.py::generate(203)] [Benchmarking] Run took 26.8140s
2026-09-18 11:06:43,916 [INFO][benchmarking.py::generate(258)] [Benchmarking] Preparing results took 0.0001s
2026-09-18 11:06:43,922 [INFO][benchmarking-result.py::generate(58)] [BenchmarkingResult] Generate results took 0.0051s
2026-09-18 11:06:43,923 [INFO][runner.py::run_recipes(375)] [Runner] regrag-local-undesirable-mlc-ailuminate-iwp-20260918t053617z - Benchmark recipe run completed.

=== regrag-local-undesirable-mlc-ailuminate-ncr-20260918T053643Z  (5% of each dataset, seed 20260916)
2026-09-18 11:06:43,944 [INFO][runner.py::run_recipes(349)] [Runner] regrag-local-undesirable-mlc-ailuminate-ncr-20260918t053643z - Running benchmark recipe run...
2026-09-18 11:06:43,949 [INFO][benchmarking.py::generate(169)] [Benchmarking] Running recipes (['mlc-ailuminate-ncr'])...
2026-09-18 11:06:43,949 [INFO][benchmarking.py::generate(173)] [Benchmarking] Running recipe mlc-ailuminate-ncr... (1/1)
2026-09-18 11:06:43,953 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 5.
2026-09-18 11:06:43,959 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 20.
2026-09-18 11:06:43,959 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 48.
2026-09-18 11:06:43,959 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 84.
2026-09-18 11:06:43,959 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 87.
2026-09-18 11:06:59,904 [INFO][bedrock-judge-connector.py::__init__(94)] Ignoring `token` with 4 characters (doesn't look like an aws_session_token)
2026-09-18 11:06:59,915 [INFO][bedrock-judge-connector.py::__init__(111)] Ignoring placeholder `endpoint` (doesn't look like an AWS endpoint). Got: DEFAULT
2026-09-18 11:06:59,996 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 0.
2026-09-18 11:07:01,315 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 1.
2026-09-18 11:07:02,117 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 2.
2026-09-18 11:07:02,906 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 3.
2026-09-18 11:07:03,549 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 4.
2026-09-18 11:07:04,359 [INFO][benchmarking.py::generate(203)] [Benchmarking] Run took 20.4095s
2026-09-18 11:07:04,360 [INFO][benchmarking.py::generate(258)] [Benchmarking] Preparing results took 0.0001s
2026-09-18 11:07:04,367 [INFO][benchmarking-result.py::generate(58)] [BenchmarkingResult] Generate results took 0.0062s
2026-09-18 11:07:04,369 [INFO][runner.py::run_recipes(375)] [Runner] regrag-local-undesirable-mlc-ailuminate-ncr-20260918t053643z - Benchmark recipe run completed.

=== regrag-local-undesirable-mlc-ailuminate-spc-ele-20260918T053704Z  (5% of each dataset, seed 20260916)
2026-09-18 11:07:04,392 [INFO][runner.py::run_recipes(349)] [Runner] regrag-local-undesirable-mlc-ailuminate-spc-ele-20260918t053704z - Running benchmark recipe run...
2026-09-18 11:07:04,396 [INFO][benchmarking.py::generate(169)] [Benchmarking] Running recipes (['mlc-ailuminate-spc-ele'])...
2026-09-18 11:07:04,397 [INFO][benchmarking.py::generate(173)] [Benchmarking] Running recipe mlc-ailuminate-spc-ele... (1/1)
2026-09-18 11:07:04,400 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 21.
2026-09-18 11:07:06,757 [INFO][bedrock-judge-connector.py::__init__(94)] Ignoring `token` with 4 characters (doesn't look like an aws_session_token)
2026-09-18 11:07:06,767 [INFO][bedrock-judge-connector.py::__init__(111)] Ignoring placeholder `endpoint` (doesn't look like an AWS endpoint). Got: DEFAULT
2026-09-18 11:07:06,836 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 0.
2026-09-18 11:07:08,012 [INFO][benchmarking.py::generate(203)] [Benchmarking] Run took 3.6159s
2026-09-18 11:07:08,014 [INFO][benchmarking.py::generate(258)] [Benchmarking] Preparing results took 0.0001s
2026-09-18 11:07:08,019 [INFO][benchmarking-result.py::generate(58)] [BenchmarkingResult] Generate results took 0.0051s
2026-09-18 11:07:08,020 [INFO][runner.py::run_recipes(375)] [Runner] regrag-local-undesirable-mlc-ailuminate-spc-ele-20260918t053704z - Benchmark recipe run completed.

=== regrag-local-undesirable-mlc-ailuminate-spc-fin-20260918T053708Z  (5% of each dataset, seed 20260916)
2026-09-18 11:07:08,047 [INFO][runner.py::run_recipes(349)] [Runner] regrag-local-undesirable-mlc-ailuminate-spc-fin-20260918t053708z - Running benchmark recipe run...
2026-09-18 11:07:08,051 [INFO][benchmarking.py::generate(169)] [Benchmarking] Running recipes (['mlc-ailuminate-spc-fin'])...
2026-09-18 11:07:08,052 [INFO][benchmarking.py::generate(173)] [Benchmarking] Running recipe mlc-ailuminate-spc-fin... (1/1)
2026-09-18 11:07:08,055 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 21.
2026-09-18 11:07:10,595 [INFO][bedrock-judge-connector.py::__init__(94)] Ignoring `token` with 4 characters (doesn't look like an aws_session_token)
2026-09-18 11:07:10,606 [INFO][bedrock-judge-connector.py::__init__(111)] Ignoring placeholder `endpoint` (doesn't look like an AWS endpoint). Got: DEFAULT
2026-09-18 11:07:10,650 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 0.
2026-09-18 11:07:11,926 [INFO][benchmarking.py::generate(203)] [Benchmarking] Run took 3.8740s
2026-09-18 11:07:11,927 [INFO][benchmarking.py::generate(258)] [Benchmarking] Preparing results took 0.0000s
2026-09-18 11:07:11,931 [INFO][benchmarking-result.py::generate(58)] [BenchmarkingResult] Generate results took 0.0037s
2026-09-18 11:07:11,932 [INFO][runner.py::run_recipes(375)] [Runner] regrag-local-undesirable-mlc-ailuminate-spc-fin-20260918t053708z - Benchmark recipe run completed.

=== regrag-local-undesirable-mlc-ailuminate-spc-hlt-20260918T053711Z  (5% of each dataset, seed 20260916)
2026-09-18 11:07:11,951 [INFO][runner.py::run_recipes(349)] [Runner] regrag-local-undesirable-mlc-ailuminate-spc-hlt-20260918t053711z - Running benchmark recipe run...
2026-09-18 11:07:11,955 [INFO][benchmarking.py::generate(169)] [Benchmarking] Running recipes (['mlc-ailuminate-spc-hlt'])...
2026-09-18 11:07:11,955 [INFO][benchmarking.py::generate(173)] [Benchmarking] Running recipe mlc-ailuminate-spc-hlt... (1/1)
2026-09-18 11:07:11,959 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 21.
2026-09-18 11:07:14,200 [INFO][bedrock-judge-connector.py::__init__(94)] Ignoring `token` with 4 characters (doesn't look like an aws_session_token)
2026-09-18 11:07:14,205 [INFO][bedrock-judge-connector.py::__init__(111)] Ignoring placeholder `endpoint` (doesn't look like an AWS endpoint). Got: DEFAULT
2026-09-18 11:07:14,276 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 0.
2026-09-18 11:07:17,112 [INFO][benchmarking.py::generate(203)] [Benchmarking] Run took 5.1572s
2026-09-18 11:07:17,113 [INFO][benchmarking.py::generate(258)] [Benchmarking] Preparing results took 0.0000s
2026-09-18 11:07:17,115 [INFO][benchmarking-result.py::generate(58)] [BenchmarkingResult] Generate results took 0.0024s
2026-09-18 11:07:17,116 [INFO][runner.py::run_recipes(375)] [Runner] regrag-local-undesirable-mlc-ailuminate-spc-hlt-20260918t053711z - Benchmark recipe run completed.

=== regrag-local-undesirable-mlc-ailuminate-spc-lgl-20260918T053717Z  (5% of each dataset, seed 20260916)
2026-09-18 11:07:17,137 [INFO][runner.py::run_recipes(349)] [Runner] regrag-local-undesirable-mlc-ailuminate-spc-lgl-20260918t053717z - Running benchmark recipe run...
2026-09-18 11:07:17,141 [INFO][benchmarking.py::generate(169)] [Benchmarking] Running recipes (['mlc-ailuminate-spc-lgl'])...
2026-09-18 11:07:17,141 [INFO][benchmarking.py::generate(173)] [Benchmarking] Running recipe mlc-ailuminate-spc-lgl... (1/1)
2026-09-18 11:07:17,143 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 21.
2026-09-18 11:07:20,083 [INFO][bedrock-judge-connector.py::__init__(94)] Ignoring `token` with 4 characters (doesn't look like an aws_session_token)
2026-09-18 11:07:20,094 [INFO][bedrock-judge-connector.py::__init__(111)] Ignoring placeholder `endpoint` (doesn't look like an AWS endpoint). Got: DEFAULT
2026-09-18 11:07:20,130 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 0.
2026-09-18 11:07:21,299 [INFO][benchmarking.py::generate(203)] [Benchmarking] Run took 4.1582s
2026-09-18 11:07:21,300 [INFO][benchmarking.py::generate(258)] [Benchmarking] Preparing results took 0.0000s
2026-09-18 11:07:21,304 [INFO][benchmarking-result.py::generate(58)] [BenchmarkingResult] Generate results took 0.0030s
2026-09-18 11:07:21,304 [INFO][runner.py::run_recipes(375)] [Runner] regrag-local-undesirable-mlc-ailuminate-spc-lgl-20260918t053717z - Benchmark recipe run completed.

=== regrag-local-undesirable-mlc-ailuminate-src-20260918T053721Z  (5% of each dataset, seed 20260916)
2026-09-18 11:07:21,320 [INFO][runner.py::run_recipes(349)] [Runner] regrag-local-undesirable-mlc-ailuminate-src-20260918t053721z - Running benchmark recipe run...
2026-09-18 11:07:21,325 [INFO][benchmarking.py::generate(169)] [Benchmarking] Running recipes (['mlc-ailuminate-src'])...
